country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",11-04-2025 00:00,28.531346,77.190156,SO2,8,12,10
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",11-04-2025 00:00,28.672342,77.31526,SO2,8,38,16
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",11-04-2025 00:00,28.672342,77.31526,OZONE,26,309,107
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",11-04-2025 00:00,28.699793,77.165453,NO2,43,116,75
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",11-04-2025 00:00,23.107969,72.574648,OZONE,22,179,102
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",11-04-2025 00:00,22.977134,72.553024,OZONE,2,84,34
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",11-04-2025 00:00,23.002657,72.591912,SO2,29,59,37
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",11-04-2025 00:00,23.020509,72.579261,PM2.5,35,80,57
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",11-04-2025 00:00,23.020509,72.579261,PM10,42,83,63
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",11-04-2025 00:00,23.020509,72.579261,NO2,9,29,18
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",11-04-2025 00:00,23.016834,72.625775,PM10,47,134,92
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",11-04-2025 00:00,23.016834,72.625775,NO2,4,11,8
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",11-04-2025 00:00,23.163798,72.677768,NH3,5,9,7
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",11-04-2025 00:00,23.163798,72.677768,SO2,3,22,8
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",11-04-2025 00:00,23.243639,72.68994,NO2,30,97,55
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",11-04-2025 00:00,23.221714,72.654328,PM2.5,17,48,34
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",11-04-2025 00:00,22.410802,73.097923,SO2,NA,NA,NA
India,Delhi,Delhi,"Narela, Delhi - DPCC",11-04-2025 00:00,28.822836,77.101981,CO,2,66,46
India,Delhi,Delhi,"Narela, Delhi - DPCC",11-04-2025 00:00,28.822836,77.101981,OZONE,9,51,28
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",11-04-2025 00:00,28.56789,77.250515,PM10,97,403,220
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",11-04-2025 00:00,28.56789,77.250515,NH3,9,16,12
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",11-04-2025 00:00,28.530785,77.271255,PM2.5,37,220,130
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",11-04-2025 00:00,28.530785,77.271255,PM10,102,489,267
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",11-04-2025 00:00,28.623763,77.287209,OZONE,6,222,77
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",11-04-2025 00:00,28.674045,77.131023,PM10,101,500,197
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",11-04-2025 00:00,28.674045,77.131023,NO2,32,60,46
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",11-04-2025 00:00,28.674045,77.131023,SO2,5,33,19
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",11-04-2025 00:00,28.674045,77.131023,CO,42,94,59
India,Delhi,Delhi,"Pusa, Delhi - DPCC",11-04-2025 00:00,28.639652,77.146275,CO,2,46,25
India,Delhi,Delhi,"Mundka, Delhi - DPCC",11-04-2025 00:00,28.684678,77.076574,NH3,7,16,10
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",11-04-2025 00:00,28.60909,77.0325413,SO2,13,34,23
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",11-04-2025 00:00,28.60909,77.0325413,CO,50,109,67
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",11-04-2025 00:00,28.60909,77.0325413,OZONE,15,54,28
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",11-04-2025 00:00,28.570173,76.933762,NO2,35,104,61
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",11-04-2025 00:00,28.6514781,77.1473105,NO2,54,92,69
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",11-04-2025 00:00,28.5504249,77.2159377,CO,32,99,42
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",11-04-2025 00:00,28.710508,77.249485,NH3,7,13,10
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",11-04-2025 00:00,28.563262,77.186937,NH3,6,10,7
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",11-04-2025 00:00,28.563262,77.186937,CO,4,43,12
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",11-04-2025 00:00,22.969611,72.6435,PM2.5,35,74,53
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",11-04-2025 00:00,28.422681,77.148944,OZONE,69,222,195
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",11-04-2025 00:00,28.3153,76.9143,PM2.5,79,381,206
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",11-04-2025 00:00,28.3153,76.9143,PM10,105,468,188
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",11-04-2025 00:00,28.3153,76.9143,SO2,10,17,14
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",11-04-2025 00:00,28.3153,76.9143,OZONE,3,91,53
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",11-04-2025 00:00,30.943887,76.801991,CO,20,75,40
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB",11-04-2025 00:00,34.066206,74.81982,NH3,1,2,2
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",11-04-2025 00:00,16.172806,75.659694,NO2,9,10,9
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",11-04-2025 00:00,15.888653,74.541751,NO2,NA,NA,NA
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",11-04-2025 00:00,15.888653,74.541751,OZONE,19,20,19
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",11-04-2025 00:00,12.9135218,77.5950804,PM10,26,405,113
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",11-04-2025 00:00,12.9135218,77.5950804,NO2,35,37,36
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",11-04-2025 00:00,12.9756843,77.5660749,NO2,43,51,47
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",11-04-2025 00:00,12.9756843,77.5660749,SO2,6,13,8
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",11-04-2025 00:00,12.921418,77.502466,NO2,28,33,33
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",11-04-2025 00:00,12.921418,77.502466,NH3,1,2,2
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",11-04-2025 00:00,13.0246342,77.5080115,PM2.5,36,52,44
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",11-04-2025 00:00,13.0246342,77.5080115,NO2,8,10,8
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",11-04-2025 00:00,12.917348,77.622813,PM2.5,32,71,57
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",11-04-2025 00:00,12.917348,77.622813,PM10,80,174,129
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",11-04-2025 00:00,13.428828,77.731418,PM2.5,45,318,85
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB",11-04-2025 00:00,12.88925,74.853,NH3,1,2,2
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB",11-04-2025 00:00,12.88925,74.853,SO2,7,8,8
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",11-04-2025 00:00,12.21041,76.37376,PM10,35,65,50
